Tools	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9680	1	OK	0.6951873	-0.5924081	-0.3987874	-0.0820722	-86.033	72.886	-247.407	0.1315008	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9680	1	OK	0.8990400	0.0656666	-0.3594137	0.2413228	-95.228	56.759	-230.248	0.0669824	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9688	1	OK	0.6952098	-0.5923768	-0.3987933	-0.0820790	-86.031	72.887	-247.412	0.1314008	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9688	1	OK	0.8990333	0.0656725	-0.3594252	0.2413290	-95.225	56.759	-230.245	0.0669010	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9696	1	OK	0.6951673	-0.5923955	-0.3988360	-0.0820962	-86.026	72.883	-247.410	0.1318056	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9696	1	OK	0.8990280	0.0656166	-0.3594608	0.2413112	-95.220	56.756	-230.247	0.0676057	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9704	1	OK	0.6951443	-0.5924287	-0.3988368	-0.0820477	-86.030	72.874	-247.409	0.1320372	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9704	1	OK	0.8990264	0.0656071	-0.3594559	0.2413270	-95.221	56.754	-230.244	0.0674020	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9712	1	OK	0.6951830	-0.5923780	-0.3988441	-0.0820501	-86.025	72.878	-247.409	0.1315550	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9712	1	OK	0.8990335	0.0656773	-0.3593824	0.2413907	-95.225	56.750	-230.242	0.0662539	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9720	1	OK	0.6951692	-0.5923700	-0.3988737	-0.0820814	-86.023	72.882	-247.421	0.1322259	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9720	1	OK	0.8990427	0.0658025	-0.3592908	0.2414589	-95.232	56.749	-230.240	0.0652122	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9728	1	OK	0.6951710	-0.5923717	-0.3988727	-0.0820590	-86.026	72.876	-247.424	0.1322456	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9728	1	OK	0.8990504	0.0657907	-0.3592853	0.2414415	-95.234	56.751	-230.242	0.0653585	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9736	1	OK	0.6950862	-0.5924392	-0.3989228	-0.0820467	-86.015	72.864	-247.421	0.1319870	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9736	1	OK	0.8990431	0.0657181	-0.3593494	0.2413931	-95.227	56.753	-230.240	0.0658651	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9744	1	OK	0.6950396	-0.5924628	-0.3989622	-0.0820788	-86.009	72.862	-247.426	0.1320865	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9744	1	OK	0.8990582	0.0657497	-0.3592786	0.2414336	-95.232	56.747	-230.241	0.0649008	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9752	1	OK	0.6950358	-0.5924599	-0.3989715	-0.0820873	-86.007	72.863	-247.433	0.1326414	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9752	1	OK	0.8990495	0.0657433	-0.3592902	0.2414505	-95.228	56.745	-230.243	0.0653205	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9760	1	OK	0.6950023	-0.5924893	-0.3989798	-0.0821180	-86.006	72.863	-247.437	0.1335027	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9760	1	OK	0.8990466	0.0657057	-0.3592919	0.2414691	-95.228	56.739	-230.244	0.0658632	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9768	1	OK	0.6949970	-0.5924923	-0.3989805	-0.0821378	-86.005	72.863	-247.431	0.1331064	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9768	1	OK	0.8990431	0.0657650	-0.3592749	0.2414910	-95.230	56.741	-230.244	0.0653771	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9776	1	OK	0.6949707	-0.5925098	-0.3989995	-0.0821419	-86.000	72.859	-247.434	0.1331091	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9776	1	OK	0.8990427	0.0658078	-0.3592526	0.2415144	-95.232	56.740	-230.243	0.0650274	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9784	1	OK	0.6949677	-0.5925323	-0.3989715	-0.0821407	-86.005	72.861	-247.435	0.1336593	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9784	1	OK	0.8990410	0.0657354	-0.3592949	0.2414773	-95.229	56.738	-230.244	0.0657266	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9792	1	OK	0.6949737	-0.5925365	-0.3989586	-0.0821220	-86.010	72.861	-247.438	0.1339941	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9792	1	OK	0.8990350	0.0656716	-0.3593571	0.2414243	-95.225	56.740	-230.245	0.0664741	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9800	1	OK	0.6949790	-0.5925145	-0.3989752	-0.0821556	-86.004	72.864	-247.436	0.1339804	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9800	1	OK	0.8990332	0.0656318	-0.3593852	0.2414003	-95.225	56.742	-230.246	0.0669403	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9808	1	OK	0.6949656	-0.5925237	-0.3989825	-0.0821673	-85.999	72.866	-247.435	0.1340860	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9808	1	OK	0.8990327	0.0656651	-0.3593610	0.2414289	-95.227	56.740	-230.245	0.0665432	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9816	1	OK	0.6950370	-0.5924799	-0.3989266	-0.0821501	-86.009	72.873	-247.438	0.1336103	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9816	1	OK	0.8990467	0.0657268	-0.3592822	0.2414775	-95.236	56.736	-230.243	0.0658322	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9824	1	OK	0.6950247	-0.5925028	-0.3989214	-0.0821145	-86.011	72.867	-247.432	0.1327829	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9824	1	OK	0.8990347	0.0657253	-0.3593089	0.2414827	-95.233	56.736	-230.245	0.0660619	0
2	Port 10: NDI-MF2 610066   T6d0-S00108  s/n:37B31800 Channel:0	9832	1	OK	0.6950647	-0.5924590	-0.3989181	-0.0821078	-86.009	72.872	-247.431	0.1323720	0	Port 11: NDI-MF2 610066   T6d0-S00112  s/n:37B31800 Channel:0	9832	1	OK	0.8990380	0.0657486	-0.3593092	0.2414636	-95.234	56.741	-230.243	0.0656647	0
