Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554936	1	OK	0.0465779	0.4456222	0.8490062	0.2800712	122.750	90.951	-415.194	0.1144386	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554944	1	OK	0.0489082	0.4442919	0.8472220	0.2871021	125.113	93.321	-413.382	0.1229364	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554952	1	OK	0.0511018	0.4425298	0.8459294	0.2931885	128.235	95.791	-411.971	0.0889147	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554960	1	OK	0.0550141	0.4400808	0.8445366	0.3001003	131.738	98.012	-409.968	0.1274288	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554968	1	OK	0.0584860	0.4375206	0.8430429	0.3073009	134.534	100.215	-408.167	0.1402050	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554976	1	OK	0.0619209	0.4351212	0.8409836	0.3155660	137.152	102.451	-406.295	0.1573151	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554984	1	OK	0.0623921	0.4336382	0.8393745	0.3217384	138.983	104.713	-404.124	0.1585529	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	554992	1	OK	0.0634638	0.4308362	0.8374755	0.3301322	141.613	107.674	-402.190	0.1523740	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555000	1	OK	0.0649971	0.4288995	0.8353676	0.3376115	143.659	109.951	-400.706	0.1512147	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555008	1	OK	0.0690370	0.4269014	0.8331325	0.3447888	146.433	111.784	-398.815	0.1520671	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555016	1	OK	0.0722436	0.4248237	0.8312152	0.3512649	148.933	113.601	-396.459	0.1672712	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555024	1	OK	0.0736955	0.4223045	0.8296061	0.3577452	151.118	115.753	-394.253	0.1678525	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555032	1	OK	0.0768647	0.4199075	0.8274072	0.3649204	153.917	117.997	-392.341	0.1829995	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555040	1	OK	0.0800145	0.4182749	0.8246326	0.3723235	156.240	119.924	-390.283	0.1789910	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555048	1	OK	0.0827090	0.4165212	0.8225881	0.3781773	158.918	121.754	-388.244	0.1575826	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555056	1	OK	0.0844412	0.4156970	0.8203914	0.3834367	160.950	123.607	-386.303	0.1619814	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555064	1	OK	0.0876615	0.4146229	0.8180333	0.3888764	163.606	125.172	-384.638	0.1738794	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555072	1	OK	0.0893918	0.4130280	0.8157536	0.3949215	165.044	126.966	-382.544	0.1959489	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555080	1	OK	0.0911347	0.4107623	0.8142145	0.4000293	167.206	128.750	-380.876	0.1703156	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555088	1	OK	0.0937269	0.4088890	0.8121725	0.4054637	169.421	130.358	-379.641	0.1746021	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555096	1	OK	0.0945114	0.4073042	0.8102857	0.4106191	170.849	131.837	-377.231	0.1177636	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555104	1	OK	0.0977474	0.4060163	0.8081307	0.4153563	172.583	133.124	-375.412	0.1945499	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555112	1	OK	0.0988720	0.4047756	0.8060014	0.4204079	174.305	134.863	-374.072	0.1971348	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555120	1	OK	0.0993566	0.4035903	0.8045895	0.4241213	175.075	136.166	-372.346	0.1796274	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555128	1	OK	0.1003042	0.4021076	0.8037109	0.4269629	176.206	136.971	-371.378	0.1449159	0
