Tools	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126984	1	OK	0.4174129	-0.2851597	0.5156164	-0.6918021	55.234	-54.089	-281.031	0.1181656	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	126992	1	OK	0.4174201	-0.2851241	0.5156521	-0.6917859	55.233	-54.077	-281.004	0.1192582	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127000	1	OK	0.4175090	-0.2850618	0.5156698	-0.6917446	55.237	-54.071	-281.007	0.1192771	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127008	1	OK	0.4175137	-0.2850628	0.5156520	-0.6917546	55.244	-54.070	-280.998	0.1200238	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127016	1	OK	0.4174975	-0.2850813	0.5156992	-0.6917217	55.231	-54.057	-280.999	0.1197089	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127024	1	OK	0.4173466	-0.2851859	0.5156827	-0.6917819	55.221	-54.052	-281.001	0.1188776	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127032	1	OK	0.4174289	-0.2851198	0.5156993	-0.6917471	55.235	-54.051	-281.003	0.1171645	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127040	1	OK	0.4174844	-0.2850827	0.5157607	-0.6916831	55.224	-54.044	-281.013	0.1174276	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127048	1	OK	0.4175229	-0.2850603	0.5157868	-0.6916496	55.220	-54.036	-281.016	0.1164701	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127056	1	OK	0.4173301	-0.2851729	0.5157104	-0.6917766	55.220	-54.033	-280.999	0.1159006	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127064	1	OK	0.4173559	-0.2851400	0.5157071	-0.6917770	55.228	-54.035	-280.989	0.1158882	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127072	1	OK	0.4174276	-0.2851142	0.5157024	-0.6917479	55.229	-54.039	-281.003	0.1161516	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127080	1	OK	0.4173146	-0.2851962	0.5156370	-0.6918310	55.234	-54.044	-280.997	0.1155004	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127088	1	OK	0.4172960	-0.2852170	0.5156625	-0.6918146	55.228	-54.039	-281.003	0.1155494	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127096	1	OK	0.4173662	-0.2851862	0.5156684	-0.6917806	55.226	-54.048	-281.005	0.1159098	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127104	1	OK	0.4174500	-0.2851211	0.5156960	-0.6917363	55.229	-54.044	-280.996	0.1170850	0
1	Port 10: NDI-MF2 610016  s/n:385D600A Channel:0	127112	1	OK	0.4174034	-0.2851677	0.5157112	-0.6917339	55.213	-54.048	-280.994	0.1180916	0
