Tools	Port 1: CAMP trus_head_4m2  s/n:38C3D800	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67134	1	OK	0.9450256	0.2092477	-0.2399193	0.0747041	76.074	14.094	-949.347	0.3024223	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67137	1	OK	0.9451325	0.2082394	-0.2403383	0.0748228	75.869	14.927	-949.463	0.3073934	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67140	1	OK	0.9450854	0.2086212	-0.2402274	0.0747093	75.877	15.012	-949.811	0.3057537	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67143	1	OK	0.9451361	0.2079742	-0.2404729	0.0750814	75.565	15.082	-950.267	0.3078711	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67146	1	OK	0.9447979	0.2086098	-0.2414686	0.0743764	75.098	15.024	-950.681	0.3136456	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67149	1	OK	0.9448539	0.2087149	-0.2412378	0.0741186	75.044	15.033	-950.922	0.3121856	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67152	1	OK	0.9451489	0.2081544	-0.2406342	0.0738948	75.580	15.494	-950.634	0.3229762	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67155	1	OK	0.9455439	0.2075463	-0.2396445	0.0737679	76.472	16.395	-950.110	0.3221789	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67158	1	OK	0.9459390	0.2067142	-0.2390765	0.0728771	77.105	17.727	-949.651	0.2953359	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67161	1	OK	0.9464793	0.2047456	-0.2388735	0.0720804	77.851	19.502	-949.119	0.3117576	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67164	1	OK	0.9473750	0.2024182	-0.2377019	0.0707475	78.785	21.567	-948.552	0.2949466	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67167	1	OK	0.9480854	0.2003626	-0.2375559	0.0674982	79.193	23.579	-948.007	0.2632152	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67170	1	OK	0.9490897	0.1974266	-0.2368594	0.0644135	80.436	24.837	-946.970	0.2715866	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67173	1	OK	0.9496245	0.1966813	-0.2360074	0.0618892	82.632	24.119	-946.213	0.2857739	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67176	1	OK	0.9503185	0.1963208	-0.2342103	0.0591472	85.585	23.034	-945.554	0.2678485	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67179	1	OK	0.9517109	0.1939596	-0.2308007	0.0579409	88.890	23.123	-944.704	0.2966161	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67182	1	OK	0.9527045	0.1924280	-0.2284920	0.0558311	91.821	23.882	-944.014	0.2482372	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67185	1	OK	0.9536320	0.1899664	-0.2270656	0.0542208	93.636	25.107	-943.778	0.2432276	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67188	1	OK	0.9542566	0.1887122	-0.2257512	0.0530895	95.487	25.307	-943.850	0.2593364	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67191	1	OK	0.9545573	0.1885571	-0.2246998	0.0526934	96.685	25.180	-944.462	0.2381555	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67194	1	OK	0.9547800	0.1874806	-0.2248072	0.0520385	96.730	25.419	-945.549	0.2486622	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67197	1	OK	0.9546198	0.1860772	-0.2265437	0.0524811	96.084	25.847	-946.894	0.2488919	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67200	1	OK	0.9542881	0.1867949	-0.2270256	0.0538639	95.470	25.954	-948.154	0.2624111	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67203	1	OK	0.9541395	0.1857779	-0.2288305	0.0523547	93.278	28.338	-948.857	0.2449387	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67206	1	OK	0.9544072	0.1809216	-0.2321967	0.0495871	90.478	32.572	-949.209	0.2499766	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67209	1	OK	0.9550608	0.1772047	-0.2328198	0.0474588	90.108	34.552	-949.413	0.2591555	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67212	1	OK	0.9560829	0.1754142	-0.2298043	0.0482226	92.159	34.026	-949.704	0.2582198	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67215	1	OK	0.9572909	0.1730500	-0.2265599	0.0481503	94.281	33.329	-950.133	0.2386154	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67218	1	OK	0.9582098	0.1692734	-0.2259949	0.0458999	94.062	33.772	-951.169	0.2412769	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67221	1	OK	0.9593494	0.1643170	-0.2248259	0.0458479	93.440	34.820	-952.202	0.2398349	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67224	1	OK	0.9603175	0.1587958	-0.2248492	0.0449118	92.475	35.972	-953.131	0.2362593	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67227	1	OK	0.9614412	0.1537676	-0.2236602	0.0442996	91.757	36.817	-954.065	0.2446102	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67230	1	OK	0.9625215	0.1483905	-0.2228607	0.0431935	90.862	38.158	-954.862	0.2475962	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67233	1	OK	0.9641111	0.1417653	-0.2203087	0.0430866	91.301	40.099	-954.927	0.2499215	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67236	1	OK	0.9656223	0.1339590	-0.2185033	0.0434148	91.414	42.919	-955.089	0.2231314	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67239	1	OK	0.9668924	0.1272163	-0.2172831	0.0415101	91.473	44.490	-955.401	0.2283741	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67242	1	OK	0.9676522	0.1218587	-0.2172605	0.0399695	91.129	44.384	-956.223	0.2336647	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67245	1	OK	0.9680125	0.1182377	-0.2183578	0.0359369	90.187	43.364	-957.295	0.2598997	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67248	1	OK	0.9687631	0.1129198	-0.2178964	0.0356142	90.103	42.875	-958.046	0.2353425	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67251	1	OK	0.9695783	0.1089803	-0.2167131	0.0328109	90.672	41.721	-958.592	0.2456096	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67254	1	OK	0.9707250	0.1041162	-0.2139683	0.0327176	91.617	40.821	-958.750	0.2527322	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67257	1	OK	0.9710308	0.1012924	-0.2140458	0.0319921	91.544	39.681	-959.222	0.2311455	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67260	1	OK	0.9716417	0.0960226	-0.2137627	0.0315843	91.379	40.200	-959.599	0.2332619	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67263	1	OK	0.9726053	0.0902272	-0.2121921	0.0295394	92.042	41.070	-959.882	0.2410662	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67266	1	OK	0.9732087	0.0818822	-0.2130680	0.0276070	91.741	42.961	-960.419	0.2529042	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67269	1	OK	0.9741305	0.0766401	-0.2110701	0.0254043	93.146	42.937	-960.260	0.2132505	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67272	1	OK	0.9746621	0.0708930	-0.2106126	0.0255013	93.833	41.565	-960.345	0.2140529	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67275	1	OK	0.9751780	0.0661583	-0.2101036	0.0225238	94.608	39.392	-960.529	0.2169555	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67278	1	OK	0.9759472	0.0604658	-0.2083035	0.0219238	96.028	37.547	-960.840	0.2252918	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67281	1	OK	0.9766960	0.0541947	-0.2067398	0.0196604	98.049	36.124	-960.853	0.1775911	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67284	1	OK	0.9774950	0.0448196	-0.2053196	0.0184029	99.080	36.273	-961.594	0.1883245	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67287	1	OK	0.9783177	0.0346551	-0.2035326	0.0163682	99.356	37.181	-962.960	0.1719207	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67290	1	OK	0.9784187	0.0229583	-0.2048594	0.0142272	97.413	39.387	-965.581	0.1916553	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67293	1	OK	0.9789053	0.0130546	-0.2034110	0.0140717	96.440	40.747	-967.956	0.1737825	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67296	1	OK	0.9787896	0.0029053	-0.2042533	0.0155930	94.439	42.378	-970.755	0.1439900	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67299	1	OK	0.9793297	-0.0073937	-0.2015384	0.0155212	94.481	44.228	-972.790	0.1300915	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67302	1	OK	0.9794626	-0.0170612	-0.2002512	0.0161657	93.577	45.369	-975.279	0.1441948	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67305	1	OK	0.9795204	-0.0228210	-0.1996650	0.0123643	93.386	44.311	-976.633	0.0920857	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67308	1	OK	0.9791586	-0.0290685	-0.2007125	0.0108628	92.061	43.722	-978.076	0.1131954	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67311	1	OK	0.9793201	-0.0351316	-0.1991166	0.0071040	92.377	43.056	-978.457	0.0742889	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67314	1	OK	0.9787125	-0.0406640	-0.2011672	0.0003179	91.346	42.254	-979.036	0.1217769	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67317	1	OK	0.9783953	-0.0483280	-0.2009873	-0.0033373	90.695	42.300	-979.582	0.0875845	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67320	1	OK	0.9774985	-0.0562198	-0.2030321	-0.0106739	89.529	43.170	-980.099	0.0939128	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67323	1	OK	0.9772462	-0.0688163	-0.2004753	-0.0079932	90.134	45.329	-980.767	0.0893441	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67326	1	OK	0.9768132	-0.0777231	-0.1989535	-0.0145789	91.719	45.640	-980.841	0.1328194	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67329	1	OK	0.9763812	-0.0844564	-0.1980666	-0.0177907	92.981	44.128	-980.312	0.1146245	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67332	1	OK	0.9756701	-0.0930973	-0.1968454	-0.0255453	94.712	43.687	-979.865	0.0961289	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67335	1	OK	0.9752295	-0.0992519	-0.1957824	-0.0273075	95.538	41.903	-978.772	0.1054853	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67338	1	OK	0.9743384	-0.1045170	-0.1962860	-0.0348222	95.683	40.657	-977.620	0.1623863	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67341	1	OK	0.9745893	-0.1098010	-0.1915985	-0.0375435	97.642	39.487	-975.467	0.1288550	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67344	1	OK	0.9738113	-0.1192743	-0.1893415	-0.0401875	98.785	40.576	-974.559	0.1416637	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67347	1	OK	0.9731686	-0.1264584	-0.1876486	-0.0417023	98.915	40.799	-973.811	0.1649631	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67350	1	OK	0.9721332	-0.1347501	-0.1868312	-0.0435160	98.314	41.025	-973.635	0.1810607	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67353	1	OK	0.9709127	-0.1419909	-0.1866118	-0.0484072	98.412	41.149	-973.411	0.1842155	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67356	1	OK	0.9698297	-0.1519379	-0.1840934	-0.0495457	98.976	42.723	-973.800	0.1990528	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67359	1	OK	0.9678201	-0.1649363	-0.1837111	-0.0486885	98.027	46.332	-975.887	0.2409020	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67362	1	OK	0.9653239	-0.1819255	-0.1821628	-0.0432392	97.210	51.235	-979.218	0.2696432	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67365	1	OK	0.9627150	-0.1943334	-0.1832581	-0.0427873	95.309	54.127	-982.164	0.3340123	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67368	1	OK	0.9611352	-0.2026216	-0.1824359	-0.0433683	93.993	53.996	-983.072	0.3388550	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67371	1	OK	0.9603323	-0.2051703	-0.1828224	-0.0473597	92.778	50.894	-981.840	0.3330393	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67374	1	OK	0.9606514	-0.2055912	-0.1809168	-0.0463711	91.679	46.336	-979.001	0.3324546	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67377	1	OK	0.9603419	-0.2052563	-0.1822160	-0.0490986	90.170	41.715	-975.750	0.2737164	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67380	1	OK	0.9594505	-0.2088247	-0.1820124	-0.0521391	89.457	40.028	-974.040	0.2449529	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67383	1	OK	0.9577863	-0.2133535	-0.1833279	-0.0593012	89.557	39.499	-972.525	0.2476093	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67386	1	OK	0.9564306	-0.2176695	-0.1832107	-0.0655307	90.310	39.330	-971.047	0.3237579	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67389	1	OK	0.9550873	-0.2197325	-0.1849611	-0.0729062	90.087	37.794	-968.981	0.2590160	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67392	1	OK	0.9538514	-0.2214670	-0.1869780	-0.0784794	89.176	35.923	-966.958	0.2108139	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67395	1	OK	0.9525891	-0.2222917	-0.1902974	-0.0833502	87.504	34.073	-965.119	0.1953146	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67398	1	OK	0.9510247	-0.2232521	-0.1937264	-0.0904466	86.125	32.717	-963.494	0.2326355	0
1	Port 1: CAMP trus_head_4m2  s/n:38C3D800	67401	1	OK	0.9497346	-0.2247693	-0.1969403	-0.0932600	84.303	31.747	-962.177	0.1714436	0
