Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276072	1	OK	0.6700197	0.5740011	0.3199167	-0.3453255	-20.636	-12.347	-397.599	0.1260119	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276080	1	OK	0.6704596	0.5737093	0.3220081	-0.3430048	-19.443	-12.426	-397.404	0.0960683	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276088	1	OK	0.6708476	0.5733490	0.3244728	-0.3405170	-17.856	-12.252	-397.724	0.0827778	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276096	1	OK	0.6731881	0.5738591	0.3245871	-0.3348831	-16.526	-12.269	-398.110	0.1090776	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276104	1	OK	0.6737473	0.5732140	0.3269846	-0.3325227	-15.323	-12.149	-398.002	0.0630128	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276112	1	OK	0.6746389	0.5723656	0.3295035	-0.3296777	-14.539	-11.898	-397.908	0.0545402	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276120	1	OK	0.6755298	0.5719397	0.3312832	-0.3267965	-14.237	-11.483	-397.122	0.0888961	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276128	1	OK	0.6764494	0.5713171	0.3322084	-0.3250394	-14.528	-11.269	-396.969	0.0798010	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276136	1	OK	0.6768751	0.5706308	0.3334630	-0.3240725	-14.915	-10.974	-396.317	0.0593344	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276144	1	OK	0.6778031	0.5684492	0.3356029	-0.3237580	-15.033	-11.043	-395.461	0.1162668	0
